Fund Holdings as of,"13/Mar/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","9’264’186.31","0.18","9’264’186.31","1’262’645.00","7.34","United Arab Emirates","Dubai Financial Market","AED"
"2327","YAGEO CORP","Information Technology","Equity","9’175’050.64","0.17","9’175’050.64","1’137’404.00","8.07","Taiwan","Taiwan Stock Exchange","TWD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","9’081’574.00","0.17","9’081’574.00","633’497.00","14.34","India","National Stock Exchange Of India","INR"
"6669","WIWYNN CORPORATION CORP","Information Technology","Equity","8’977’707.26","0.17","8’977’707.26","70’550.00","127.25","Taiwan","Taiwan Stock Exchange","TWD"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","8’971’958.16","0.17","8’971’958.16","78’137.00","114.82","India","National Stock Exchange Of India","INR"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","8’959’260.24","0.17","8’959’260.24","486’500.00","18.42","Taiwan","Taiwan Stock Exchange","TWD"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","8’935’046.21","0.17","8’935’046.21","907’741.00","9.84","India","National Stock Exchange Of India","INR"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","8’848’626.48","0.17","8’848’626.48","573’960.00","15.42","Saudi Arabia","Saudi Stock Exchange","SAR"
"1303","NAN YA PLASTICS CORP","Materials","Equity","8’672’815.67","0.16","8’672’815.67","3’322’000.00","2.61","Taiwan","Taiwan Stock Exchange","TWD"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","8’611’162.42","0.16","8’611’162.42","607’303.00","14.18","South Africa","Johannesburg Stock Exchange","ZAR"
"ETE","NATIONAL BANK OF GREECE SA","Financials","Equity","8’345’322.63","0.16","8’345’322.63","574’424.00","14.53","Greece","Athens Exchange S.A. Cash Market","EUR"
"042660","HANWHA OCEAN LTD","Industrials","Equity","8’298’241.92","0.16","8’298’241.92","90’526.00","91.67","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Equity","8’138’615.93","0.15","8’138’615.93","8’198’470.00","0.99","Taiwan","Taiwan Stock Exchange","TWD"
"3231","WISTRON CORP","Information Technology","Equity","8’090’234.03","0.15","8’090’234.03","1’931’000.00","4.19","Taiwan","Taiwan Stock Exchange","TWD"
"009540","HD KOREA SHIPBUILDING & OFFSHORE E","Industrials","Equity","7’916’938.63","0.15","7’916’938.63","28’422.00","278.55","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","7’798’402.23","0.15","7’798’402.23","693’800.00","11.24","Thailand","Stock Exchange Of Thailand","THB"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrials","Equity","7’760’620.08","0.15","7’760’620.08","676’930.00","11.46","Philippines","Philippine Stock Exchange Inc.","PHP"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","7’745’923.87","0.15","7’745’923.87","31’350.00","247.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"032830","SAMSUNG LIFE LTD","Financials","Equity","7’725’639.29","0.15","7’725’639.29","53’416.00","144.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","7’677’246.64","0.15","7’677’246.64","7’202.00","1’065.99","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1010","RIYAD BANK","Financials","Equity","7’545’046.41","0.14","7’545’046.41","992’708.00","7.60","Saudi Arabia","Saudi Stock Exchange","SAR"
"ABG","ABSA GROUP LTD","Financials","Equity","7’535’845.01","0.14","7’535’845.01","553’890.00","13.61","South Africa","Johannesburg Stock Exchange","ZAR"
"QIBK","QATAR ISLAMIC BANK","Financials","Equity","7’297’054.75","0.14","7’297’054.75","1’176’642.00","6.20","Qatar","Qatar Exchange","QAR"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","7’102’221.52","0.13","7’102’221.52","93’926.00","75.62","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","7’036’440.66","0.13","7’036’440.66","3’215’000.00","2.19","Taiwan","Taiwan Stock Exchange","TWD"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","7’020’397.20","0.13","7’020’397.20","7’769’442.00","0.90","Taiwan","Taiwan Stock Exchange","TWD"
"PEO","BANK PEKAO SA","Financials","Equity","7’020’091.51","0.13","7’020’091.51","125’055.00","56.14","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"035720","KAKAO CORP","Communication","Equity","7’002’549.40","0.13","7’002’549.40","206’679.00","33.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","6’960’788.57","0.13","6’960’788.57","92’564.00","75.20","Chile","Santiago Stock Exchange","CLP"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","6’936’665.47","0.13","6’936’665.47","2’068’106.00","3.35","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"PTT.R","PTT NON-VOTING DR PCL","Energy","Equity","6’886’058.21","0.13","6’886’058.21","6’493’000.00","1.06","Thailand","Stock Exchange Of Thailand","THB"
"VEDL","VEDANTA LTD","Materials","Equity","6’829’241.15","0.13","6’829’241.15","915’666.00","7.46","India","National Stock Exchange Of India","INR"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Equity","6’821’465.47","0.13","6’821’465.47","24’327’500.00","0.28","Indonesia","Indonesia Stock Exchange","IDR"
"064350","HYUNDAI-ROTEM","Industrials","Equity","6’771’954.20","0.13","6’771’954.20","50’950.00","132.91","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","6’646’896.06","0.13","6’646’896.06","1’273’000.00","5.22","Taiwan","Taiwan Stock Exchange","TWD"
"PE&OLES*","INDUST PENOLES","Materials","Equity","6’643’279.84","0.13","6’643’279.84","131’114.00","50.67","Mexico","Bolsa Mexicana De Valores","MXN"
"PZU","PZU SA","Financials","Equity","6’639’476.22","0.13","6’639’476.22","395’506.00","16.79","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"086520","ECOPRO LTD","Industrials","Equity","6’601’865.48","0.12","6’601’865.48","65’512.00","100.77","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"2883","KGI FINANCIAL HOLDING LTD","Financials","Equity","6’586’934.69","0.12","6’586’934.69","10’481’255.00","0.63","Taiwan","Taiwan Stock Exchange","TWD"
"2449","KING YUAN ELECTRONICS LTD","Information Technology","Equity","6’578’266.92","0.12","6’578’266.92","712’000.00","9.24","Taiwan","Taiwan Stock Exchange","TWD"
"ITC","ITC LTD","Consumer Staples","Equity","6’559’758.06","0.12","6’559’758.06","2’011’884.00","3.26","India","National Stock Exchange Of India","INR"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","6’531’817.92","0.12","6’531’817.92","89’586.00","72.91","India","National Stock Exchange Of India","INR"
"033780","KT&G CORP","Consumer Staples","Equity","6’493’830.39","0.12","6’493’830.39","63’387.00","102.45","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EUROB","EUROBANK SA","Financials","Equity","6’488’217.91","0.12","6’488’217.91","1’643’344.00","3.95","Greece","Athens Exchange S.A. Cash Market","EUR"
"051910","LG CHEM LTD","Materials","Equity","6’425’298.80","0.12","6’425’298.80","32’255.00","199.20","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SLM","SANLAM LIMITED LTD","Financials","Equity","6’424’550.44","0.12","6’424’550.44","1’209’957.00","5.31","South Africa","Johannesburg Stock Exchange","ZAR"
"196170","ALTEOGEN INC","Health Care","Equity","6’417’414.71","0.12","6’417’414.71","26’512.00","242.06","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"ASELS.E","ASELSAN ELEKTRONIK SANAYI VE TICAR","Industrials","Equity","6’385’683.83","0.12","6’385’683.83","875’666.00","7.29","Turkey","Istanbul Stock Exchange","TRY"
"000810","SAMSUNG FIRE & MARINE INSURANCE LT","Financials","Equity","6’369’300.61","0.12","6’369’300.61","20’068.00","317.39","Korea (South)","Korea Exchange (Stock Market)","KRW"
"298040","HYOSUNG HEAVY INDUSTRIES CORP","Industrials","Equity","6’321’680.00","0.12","6’321’680.00","3’641.00","1’736.25","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TENAGA","TENAGA NASIONAL","Utilities","Equity","6’305’542.72","0.12","6’305’542.72","1’748’900.00","3.61","Malaysia","Bursa Malaysia","MYR"
"TPEIR","PIRAEUS BANK SA","Financials","Equity","6’304’077.43","0.12","6’304’077.43","754’607.00","8.35","Greece","Athens Exchange S.A. Cash Market","EUR"
"7769","HONPRECISION INC","Information Technology","Equity","6’298’560.20","0.12","6’298’560.20","51’000.00","123.50","Taiwan","Taiwan Stock Exchange","TWD"
"2368","GOLD CIRCUIT ELECTRONICS LTD","Information Technology","Equity","6’285’272.09","0.12","6’285’272.09","215’000.00","29.23","Taiwan","Taiwan Stock Exchange","TWD"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","6’240’924.06","0.12","6’240’924.06","302’985.00","20.60","India","National Stock Exchange Of India","INR"
"5274","ASPEED TECHNOLOGY INC","Information Technology","Equity","6’234’620.98","0.12","6’234’620.98","19’000.00","328.14","Taiwan","Gretai Securities Market","TWD"
"2880","HUA NAN FINANCIAL HOLDINGS LTD","Financials","Equity","6’232’599.57","0.12","6’232’599.57","5’888’932.00","1.06","Taiwan","Taiwan Stock Exchange","TWD"
"006800","MIRAE ASSET SECURITIES CO LTD","Financials","Equity","6’113’505.64","0.12","6’113’505.64","131’370.00","46.54","Korea (South)","Korea Exchange (Stock Market)","KRW"
