Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","11,394,575.09","0.14","11,394,575.09","2,306,939.00","4.94","India","National Stock Exchange Of India","INR"
"267260","HD HYUNDAI ELECTRIC LTD","Industrials","Equity","11,323,871.10","0.14","11,323,871.10","14,534.00","779.13","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","11,206,573.47","0.14","11,206,573.47","4,727,352.00","2.37","India","National Stock Exchange Of India","INR"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","10,898,038.63","0.13","10,898,038.63","896,966.00","12.15","India","National Stock Exchange Of India","INR"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","10,824,037.68","0.13","10,824,037.68","3,299,904.00","3.28","Mexico","Bolsa Mexicana De Valores","MXN"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","10,820,648.62","0.13","10,820,648.62","407,654.00","26.54","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","10,783,174.11","0.13","10,783,174.11","9,588,423.00","1.12","Taiwan","Taiwan Stock Exchange","TWD"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","10,751,993.82","0.13","10,751,993.82","4,938,800.00","2.18","Malaysia","Bursa Malaysia","MYR"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","10,704,413.66","0.13","10,704,413.66","224,102.00","47.77","India","National Stock Exchange Of India","INR"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","10,698,710.26","0.13","10,698,710.26","2,186,500.00","4.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","10,578,382.02","0.13","10,578,382.02","6,717,434.00","1.57","Taiwan","Taiwan Stock Exchange","TWD"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","10,559,126.22","0.13","10,559,126.22","3,705,965.00","2.85","Brazil","XBSP","BRL"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","10,486,168.24","0.13","10,486,168.24","15,108,000.00","0.69","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","10,369,305.52","0.13","10,369,305.52","72,870.00","142.30","India","National Stock Exchange Of India","INR"
"2360","CHROMA ATE INC","Information Technology","Equity","10,346,352.25","0.13","10,346,352.25","234,000.00","44.22","Taiwan","Taiwan Stock Exchange","TWD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","10,302,406.03","0.13","10,302,406.03","43,700,459.00","0.24","Indonesia","Indonesia Stock Exchange","IDR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","10,269,712.60","0.13","10,269,712.60","2,392,000.00","4.29","Taiwan","Taiwan Stock Exchange","TWD"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","10,117,187.56","0.13","10,117,187.56","47,210.00","214.30","China","Shanghai Stock Exchange","CNY"
"WEGE3","WEG SA","Industrials","Equity","9,941,996.86","0.12","9,941,996.86","1,035,222.00","9.60","Brazil","XBSP","BRL"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","9,901,075.28","0.12","9,901,075.28","2,968,344.00","3.34","India","National Stock Exchange Of India","INR"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Equity","9,820,473.19","0.12","9,820,473.19","813,901.00","12.07","Brazil","XBSP","BRL"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","9,779,178.86","0.12","9,779,178.86","907,000.00","10.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","9,775,659.89","0.12","9,775,659.89","339,600.00","28.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","9,766,418.97","0.12","9,766,418.97","7,517,132.00","1.30","Taiwan","Taiwan Stock Exchange","TWD"
