Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
JP3539220008,T+D HOLDINGS INC,Financials,Equity,,0.231279,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3621000003,TORAY INDUSTRIES INC,Materials,Equity,,0.230326,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3976300008,RYOHIN KEIKAKU CO LTD,Consumer Discretionary,Equity,,0.226708,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3494600004,SCREEN HOLDINGS CO LTD,Information Technology,Equity,,0.221873,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3358800005,SHIMIZU CORP,Industrials,Equity,,0.221272,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3436120004,SBI HOLDINGS INC,Financials,Equity,,0.220486,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3526600006,CHUBU ELECTRIC POWER CO INC,Utilities,Equity,,0.217642,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3814800003,SUBARU CORP,Consumer Discretionary,Equity,,0.211894,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3305990008,YOKOHAMA FINANCIAL GROUP INC,Financials,Equity,,0.205483,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3201200007,OLYMPUS CORP,Health Care,Equity,,0.200452,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3762800005,NOMURA RESEARCH INSTITUTE LTD,Information Technology,Equity,,0.192862,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3137200006,ISUZU MOTORS LTD,Consumer Discretionary,Equity,,0.188982,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3897700005,MITSUBISHI CHEMICAL GROUP CO,Materials,Equity,,0.175134,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3955000009,YOKOGAWA ELECTRIC CORP,Information Technology,Equity,,0.173214,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3659000008,WEST JAPAN RAILWAY CO,Industrials,Equity,,0.170725,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3629000005,TOPPAN HOLDINGS INC,Industrials,Equity,,0.170062,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3102000001,AISIN CORP,Consumer Discretionary,Equity,,0.167219,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3862400003,MAKITA CORP,Industrials,Equity,,0.167177,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3112000009,AGC INC,Industrials,Equity,,0.166748,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3160400002,EISAI CO LTD,Health Care,Equity,,0.165870,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3173400007,OBIC CO LTD,Information Technology,Equity,,0.164037,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3499800005,MITSUBISHI HC CAPITAL INC,Financials,Equity,,0.163327,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3493800001,DAI NIPPON PRINTING CO LTD,Industrials,Equity,,0.159538,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3351600006,SHISEIDO CO LTD,Consumer Staples,Equity,,0.159289,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3218900003,CAPCOM CO LTD,Communication Services,Equity,,0.155990,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3511800009,CHIBA BANK LTD/THE,Financials,Equity,,0.155531,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3967200001,RAKUTEN GROUP INC,Consumer Discretionary,Equity,,0.152650,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3756100008,NITORI HOLDINGS CO LTD,Consumer Discretionary,Equity,,0.152501,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3358000002,SHIMANO INC,Consumer Discretionary,Equity,,0.151310,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3386030005,JFE HOLDINGS INC,Materials,Equity,,0.151309,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3906000009,MINEBEA MITSUMI INC,Industrials,Equity,,0.150090,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3758190007,NEXON CO LTD,Communication Services,Equity,,0.149439,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3142500002,IDEMITSU KOSAN CO LTD,Energy,Equity,,0.145029,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3951600000,UNICHARM CORP,Consumer Staples,Equity,,0.143643,,,,Japan,Tokyo Stock Exchange,JPY,,,
