period_start,isin,api_name,amount,individuals,count
2020-05-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,108839.36,1073,1234
2020-06-01,EE3600109476,LHV Pensionifond Eesti,8928.69,80,108
2020-06-01,EE3600019832,LHV Pensionifond Ettevõtlik,5958390.44,63651,86271
2020-06-01,EE3600109401,LHV Pensionifond Indeks,324433.65,2317,3036
2020-06-01,EE3600019766,LHV Pensionifond Julge,1756526.55,18982,25715
2020-06-01,EE3600019782,LHV Pensionifond Rahulik,132538.77,1549,2011
2020-06-01,EE3600001723,LHV Pensionifond Roheline,26401.06,208,267
2020-06-01,EE3600019824,LHV Pensionifond S,307126.77,3789,5012
2020-06-01,EE3600019774,LHV Pensionifond Tasakaalukas,759994.84,9280,12432
2020-06-01,EE3600103503,Luminor 16-50 pensionifond,585567.98,5743,7880
2020-06-01,EE3600098430,Luminor 50-56 pensionifond,1736065.2,17042,23367
2020-06-01,EE3600098448,Luminor 56+ pensionifond,155337.99,1659,2240
2020-06-01,EE3600098455,Luminor 61-65 pensionifond,115328.98,1346,1849
2020-06-01,EE3600103297,SEB Energiline Pensionifond,1432289.77,17139,23250
2020-06-01,EE3600001699,SEB pensionifond 18+,29449.63,306,412
2020-06-01,EE3600019725,SEB pensionifond 55+,4266112.13,50065,67269
2020-06-01,EE3600098612,SEB pensionifond 60+,247181.48,3334,4429
2020-06-01,EE3600019717,SEB pensionifond 65+,358823.97,4719,6185
2020-06-01,EE3600109427,SEB pensionifond indeks,271839.27,2315,3082
2020-06-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,2029253.98,27309,35912
2020-06-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,6999724.95,81451,109581
2020-06-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,4266386.11,51818,70388
2020-06-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,202901.34,2393,3201
2020-06-01,EE3600019733,Swedbanki pensionifond Konservatiivne,308225.78,4175,5364
2020-06-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1293425.62,9719,13194
2020-06-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,55028.58,499,635
2020-07-01,EE3600109476,LHV Pensionifond Eesti,7033.92,61,84
2020-07-01,EE3600019832,LHV Pensionifond Ettevõtlik,3077698.5,32091,41840
2020-07-01,EE3600109401,LHV Pensionifond Indeks,286049.98,2510,3186
2020-07-01,EE3600019766,LHV Pensionifond Julge,1028096.67,11599,15203
2020-07-01,EE3600019782,LHV Pensionifond Rahulik,118687.04,1397,1760
2020-07-01,EE3600001723,LHV Pensionifond Roheline,21468.56,179,224
2020-07-01,EE3600019824,LHV Pensionifond S,230878.15,2608,3259
2020-07-01,EE3600019774,LHV Pensionifond Tasakaalukas,398559.66,4629,5948
2020-07-01,EE3600103503,Luminor 16-50 pensionifond,321471.39,3177,4260
2020-07-01,EE3600098430,Luminor 50-56 pensionifond,877395.77,8258,10878
2020-07-01,EE3600098448,Luminor 56+ pensionifond,68806.41,700,901
2020-07-01,EE3600098455,Luminor 61-65 pensionifond,114193.29,1337,1710
2020-07-01,EE3600103297,SEB Energiline Pensionifond,833777.22,10551,13815
2020-07-01,EE3600001699,SEB pensionifond 18+,15385.64,175,222
2020-07-01,EE3600019725,SEB pensionifond 55+,2083301.65,23915,30499
2020-07-01,EE3600098612,SEB pensionifond 60+,113487.99,1465,1865
2020-07-01,EE3600019717,SEB pensionifond 65+,251432.59,3006,3749
2020-07-01,EE3600109427,SEB pensionifond indeks,290419.5,3229,4019
2020-07-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,815215.91,10511,13304
2020-07-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,3059396.66,33873,43685
2020-07-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,2522596.2,32659,42901
2020-07-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,331236.86,5002,6530
2020-07-01,EE3600019733,Swedbanki pensionifond Konservatiivne,208928.38,2542,3174
2020-07-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,879870.5,7318,9481
2020-07-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,76954.8,787,991
2020-08-01,EE3600109476,LHV Pensionifond Eesti,12889.97,118,233
2020-08-01,EE3600019832,LHV Pensionifond Ettevõtlik,7694657.47,74739,150277
2020-08-01,EE3600109401,LHV Pensionifond Indeks,493661.75,4014,6847
2020-08-01,EE3600019766,LHV Pensionifond Julge,2603441.88,26216,51676
2020-08-01,EE3600019782,LHV Pensionifond Rahulik,270530.64,2480,4420
2020-08-01,EE3600001723,LHV Pensionifond Roheline,55947.44,517,916
2020-08-01,EE3600019824,LHV Pensionifond S,524297.66,5037,9418
2020-08-01,EE3600019774,LHV Pensionifond Tasakaalukas,1145780.23,10685,21287
2020-08-01,EE3600103503,Luminor 16-50 pensionifond,820771.86,7409,15187
2020-08-01,EE3600098430,Luminor 50-56 pensionifond,2213488.02,19879,40940
2020-08-01,EE3600098448,Luminor 56+ pensionifond,221281.61,1914,3955
2020-08-01,EE3600098455,Luminor 61-65 pensionifond,251301.55,2351,4216
2020-08-01,EE3600103297,SEB Energiline Pensionifond,2227371.79,23722,46625
2020-08-01,EE3600001699,SEB pensionifond 18+,40407.45,428,802
2020-08-01,EE3600019725,SEB pensionifond 55+,5643270.06,58460,117592
2020-08-01,EE3600098612,SEB pensionifond 60+,385752.87,3991,8076
2020-08-01,EE3600019717,SEB pensionifond 65+,634888.52,6335,12162
2020-08-01,EE3600109427,SEB pensionifond indeks,555291.47,5463,8680
2020-08-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,2921646.75,30095,60489
2020-08-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,8758601.11,91866,186543
2020-08-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,6551782.18,71679,139038
