stock_id,name,weight,location,sector
600029|China,CHINA SOUTHERN AIRLINES LTD A,0.0005700936414142404,China,Industrials
600096|China,YUNNAN YUNTIANHUA LTD A,0.0005700936414142404,China,Materials
603893|China,ROCKCHIP ELECTRONICS LTD A,0.0005700936414142404,China,Information Technology
603296|China,HUAQIN TECHNOLOGY LTD A,0.0005700936414142404,China,Information Technology
9202|Japan,ANA HOLDINGS INC,0.0005600000000000001,Japan,Industrials
000157|China,ZOOMLION HEAVY INDUSTRY SCIENCE AN,0.0005320873986532911,China,Industrials
300418|China,KUNLUN TECH LTD A,0.0005320873986532911,China,Communication
600011|China,HUANENG POWER INTERNATIONAL INC A,0.0005320873986532911,China,Utilities
000938|China,UNISPLENDOUR CORP LTD A,0.0005320873986532911,China,Information Technology
688396|China,CHINA RESOURCES MICROELECTRONICS L,0.0005320873986532911,China,Information Technology
601838|China,BANK OF CHENGDU LTD A,0.0005320873986532911,China,Financials
300803|China,BEIJING COMPASS TECHNOLOGY DEVELOP,0.0005320873986532911,China,Financials
300751|China,SUZHOU MAXWELL TECHNOLOGIES LTD A,0.0005320873986532911,China,Information Technology
002812|China,YUNNAN ENERGY NEW MATERIAL (GROUP),0.0005320873986532911,China,Materials
002281|China,ACCELINK TECHNOLOGIES LTD A,0.0005320873986532911,China,Information Technology
600988|China,CHIFENG JILONG GOLD MINING LTD A,0.0005320873986532911,China,Materials
688110|China,DOSILICON LTD A,0.0005320873986532911,China,Information Technology
002074|China,GOTION HIGH-TECH LTD A,0.0005320873986532911,China,Industrials
002920|China,HUIZHOU DESAY SV AUTOMOTIVE LTD A,0.0005320873986532911,China,Consumer Discretionary
688036|China,SHENZHEN TRANSSION HOLDINGS LTD A,0.0005320873986532911,China,Information Technology
688027|China,QUANTUMCTEK LTD A,0.0005320873986532911,China,Information Technology
600580|China,WOLONG ELECTRIC DRIVE GROUP LTD A,0.0005320873986532911,China,Industrials
300136|China,SHENZHEN SUNWAY COMMUNICATION LTD,0.0005320873986532911,China,Information Technology
002558|China,GIANT NETWORK GROUP LTD A,0.0005320873986532911,China,Communication
001309|China,SHENZHEN TECHWINSEMI TECHNOLOGY LT,0.0005320873986532911,China,Information Technology
688047|China,LOONGSON TECHNOLOGY CORP LTD A,0.0004940811558923417,China,Information Technology
601916|China,CHINA ZHESHANG BANK LTD A,0.0004940811558923417,China,Financials
000960|China,YUNNAN TIN LTD A,0.0004940811558923417,China,Materials
600233|China,YTO EXPRESS GROUP LTD A,0.0004940811558923417,China,Industrials
300316|China,ZHEJIANG JINGSHENG MECHANICAL & EL,0.0004940811558923417,China,Information Technology
600221|China,HAINAN AIRLINES HOLDING LTD A,0.0004940811558923417,China,Industrials
002414|China,WUHAN GUIDE INFRARED LTD A,0.0004940811558923417,China,Information Technology
688249|China,NEXCHIP SEMICONDUCTOR CORP A,0.0004940811558923417,China,Information Technology
300757|China,ROBOTECHNIK INTELLIGENT TECHNOLOGY,0.0004940811558923417,China,Industrials
002049|China,UNIGROUP GUOXIN MICROELECTRONICS L,0.0004940811558923417,China,Information Technology
688126|China,NATIONAL SILICON INDUSTRY GROUP LT,0.0004940811558923417,China,Information Technology
688120|China,HWATSING TECHNOLOGY LTD A,0.0004940811558923417,China,Information Technology
600066|China,YUTONG BUS LTD A,0.0004940811558923417,China,Industrials
601788|China,EVERBRIGHT SECURITIES LTD A,0.0004940811558923417,China,Financials
9201|Japan,JAPAN AIRLINES LTD,0.00048,Japan,Industrials
4716|Japan,ORACLE JAPAN CORP,0.00048,Japan,Information Technology
300058|China,BLUEFOCUS INTELLIGENT COMMUNICATIO,0.0004560749131313923,China,Communication
688568|China,GEOVIS TECHNOLOGY LTD A,0.0004560749131313923,China,Information Technology
603228|China,SHENZHEN KINWONG ELECTRONIC LTD A,0.0004560749131313923,China,Information Technology
000559|China,WANXIANG QIANCHAO LTD A,0.0004560749131313923,China,Consumer Discretionary
600895|China,SHANGHAI ZHANGJIANG HI-TECH PARK D,0.0004560749131313923,China,Real Estate
688777|China,SUPCON TECHNOLOGY LTD A,0.0004560749131313923,China,Information Technology
300223|China,INGENIC SEMICONDUCTOR LTD A,0.0004560749131313923,China,Information Technology
600023|China,ZHEJIANG ZHENENG ELECTRIC POWER LT,0.0004560749131313923,China,Utilities
600021|China,SHANGHAI ELECTRIC POWER LTD A,0.0004560749131313923,China,Utilities
603659|China,SHANGHAI PUTAILAI NEW ENERGY TECHN,0.0004560749131313923,China,Materials
002236|China,ZHEJIANG DAHUA TECHNOLOGY LTD A,0.0004560749131313923,China,Information Technology
600741|China,HUAYU AUTOMOTIVE SYSTEMS LTD A,0.0004560749131313923,China,Consumer Discretionary
000963|China,HUADONG MEDICINE LTD A,0.0004560749131313923,China,Health Care
002195|China,SHANGHAI STONEHILL TECHNOLOGY LTD,0.0004560749131313923,China,Information Technology
601901|China,FOUNDER SECURITIES LTD A,0.0004560749131313923,China,Financials
688361|China,SKYVERSE TECHNOLOGY LTD A,0.0004560749131313923,China,Information Technology
601077|China,CHONGQING RURAL COMMERCIAL BANK LT,0.0004560749131313923,China,Financials
002294|China,SHENZHEN SALUBRIS PHARMACEUTICALS,0.0004560749131313923,China,Health Care
000831|China,CHINA RARE EARTH RESOURCES AND TEC,0.0004560749131313923,China,Materials
688469|China,UNITED NOVA TECHNOLOGY LTD A,0.0004560749131313923,China,Information Technology
002131|China,LEO GROUP LTD A,0.0004560749131313923,China,Communication
601618|China,METALLURGICAL CORP OF CHINA LTD A,0.000418068670370443,China,Industrials
688122|China,WESTERN SUPERCONDUCTING TECHNOLOGI,0.000418068670370443,China,Materials
601377|China,INDUSTRIAL SECURITIES LTD A,0.000418068670370443,China,Financials
601117|China,CHINA NATIONAL CHEMICAL ENGINEERIN,0.000418068670370443,China,Industrials
688183|China,SHENGYI ELECTRONICS LTD A,0.000418068670370443,China,Information Technology
600196|China,SHANGHAI FOSUN PHARMACEUTICAL (GRO,0.000418068670370443,China,Health Care
600803|China,ENN NATURAL GAS LTD A,0.000418068670370443,China,Utilities
300454|China,SANGFOR TECHNOLOGIES INC A,0.000418068670370443,China,Information Technology
002738|China,SINOMINE RESOURCE GROUP LTD A,0.000418068670370443,China,Materials
000708|China,CITIC PACIFIC SPECIAL STEEL GROUP,0.000418068670370443,China,Materials
688387|China,CICT MOBILE COMMUNICATION TECHNOLO,0.000418068670370443,China,Information Technology
000066|China,CHINA GREATWALL TECHNOLOGY GROUP L,0.000418068670370443,China,Information Technology
600570|China,HUNDSUN TECHNOLOGIES INC A,0.000418068670370443,China,Information Technology
688472|China,CSI SOLAR LTD A,0.000418068670370443,China,Information Technology
001965|China,CHINA MERCHANTS EXPRESSWAY NETWORK,0.000418068670370443,China,Industrials
002064|China,HUAFON CHEMICAL LTD A,0.000418068670370443,China,Materials
002422|China,SICHUAN KELUN PHARMACEUTICAL LTD A,0.000418068670370443,China,Health Care
