period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2022-01-03,EE3600103248,1901,2184,15088078.32,10755681.65
2022-01-03,EE3600103297,799,1254,4950506.66,6252953.77
2022-01-03,EE3600103503,1994,1120,10685109.2,6565664.37
2022-01-03,EE3600109393,3227,551,14682388.77,1119937.11
2022-01-03,EE3600109401,1299,329,9784017.42,1122512.94
2022-01-03,EE3600109427,1319,526,9882546.86,953335.11
2022-01-03,EE3600109435,2235,500,16970785.31,2008239.0
2022-01-03,EE3600109443,99,156,744706.55,692889.57
2022-05-02,EE3600001699,354,117,1640010.06,465930.68
2022-05-02,EE3600001723,1043,1523,3991305.69,5235230.25
2022-05-02,EE3600001806,77,66,488784.94,267950.1
2022-05-02,EE3600001814,676,63,6160136.61,458140.85
2022-05-02,EE3600019717,91,241,761553.79,877681.33
2022-05-02,EE3600019725,245,1711,1037493.87,12284367.12
2022-05-02,EE3600019733,188,233,2260826.75,998949.45
2022-05-02,EE3600019741,298,403,2735375.3,3613413.89
2022-05-02,EE3600019758,780,1903,5322472.47,16515912.91
2022-05-02,EE3600019766,1160,1800,5913040.81,9782464.75
2022-05-02,EE3600019774,243,438,1840111.68,3739538.01
2022-05-02,EE3600019782,38,186,313337.19,576762.75
2022-05-02,EE3600019824,42,340,471549.06,1586530.79
2022-05-02,EE3600019832,1739,3144,12164800.28,26874722.08
2022-05-02,EE3600098430,697,1218,7015186.73,11565523.52
2022-05-02,EE3600098448,248,220,2389709.69,1999675.91
2022-05-02,EE3600098455,345,251,3558695.12,1161786.72
2022-05-02,EE3600098612,75,136,362238.18,810203.92
2022-05-02,EE3600103248,1570,2140,10492481.84,10405212.82
2022-05-02,EE3600103297,669,1035,3520707.04,4793592.76
2022-05-02,EE3600103503,1720,1222,8971679.24,6140297.98
2022-05-02,EE3600109393,3144,633,11808799.98,1480529.99
2022-05-02,EE3600109401,1261,524,5855515.27,1327079.26
2022-05-02,EE3600109427,1302,599,7714903.48,1199775.56
2022-05-02,EE3600109435,2581,437,18929443.18,1907383.66
2022-05-02,EE3600109443,114,117,794779.2,446280.39
2022-09-01,EE3600001699,185,85,875398.41,424800.45
2022-09-01,EE3600001723,280,768,782511.04,2778527.3
2022-09-01,EE3600001806,24,56,138967.6,182092.64
2022-09-01,EE3600001814,293,99,2204930.4,304640.82
2022-09-01,EE3600019717,55,174,322449.49,624018.57
2022-09-01,EE3600019725,165,905,718061.54,6368728.27
2022-09-01,EE3600019733,361,211,5324201.37,1055096.04
2022-09-01,EE3600019741,1975,681,24537997.07,7767197.23
2022-09-01,EE3600019758,1290,3714,12116903.82,40486477.87
2022-09-01,EE3600019766,862,996,4190205.9,4117510.87
2022-09-01,EE3600019774,258,178,2016254.5,1336803.96
2022-09-01,EE3600019782,25,78,251598.62,304733.04
2022-09-01,EE3600019824,46,160,326977.77,728991.32
2022-09-01,EE3600019832,2020,1420,14035625.69,9345794.7
2022-09-01,EE3600098430,262,884,2325729.06,8380612.66
2022-09-01,EE3600098448,121,197,1202574.67,1516649.92
2022-09-01,EE3600098455,103,209,1059134.84,1437386.84
2022-09-01,EE3600098612,62,72,356739.94,358091.94
2022-09-01,EE3600103248,1902,5080,14795661.73,25073098.44
2022-09-01,EE3600103297,438,605,1997858.14,2770342.22
2022-09-01,EE3600103503,871,1026,4322298.11,5657601.06
2022-09-01,EE3600109393,5707,710,20362936.68,2202451.36
2022-09-01,EE3600109401,669,518,1836646.58,1023768.9
2022-09-01,EE3600109427,757,500,3691657.28,763718.17
2022-09-01,EE3600109435,996,355,6734066.36,1537575.56
2022-09-01,EE3600109443,45,91,331454.0,312130.46
2023-01-02,EE3600001699,208,113,694389.67,431667.17
2023-01-02,EE3600001723,548,833,1589702.52,2403718.49
2023-01-02,EE3600001806,19,54,73254.03,178265.39
2023-01-02,EE3600001814,360,219,2597355.43,277506.25
2023-01-02,EE3600019717,47,186,328691.18,735369.61
2023-01-02,EE3600019725,153,1147,689336.89,8622136.42
2023-01-02,EE3600019733,148,179,1523767.47,1046727.35
2023-01-02,EE3600019741,947,393,10000234.76,3396199.83
2023-01-02,EE3600019758,856,2161,6741698.68,19657354.02
2023-01-02,EE3600019766,1063,1179,4715209.53,5878077.54
2023-01-02,EE3600019774,310,208,2861191.01,1556325.37
2023-01-02,EE3600019782,17,105,82548.08,385253.5
2023-01-02,EE3600019824,29,208,251663.04,1072327.53
2023-01-02,EE3600019832,2778,1904,18535621.56,13655264.38
2023-01-02,EE3600098430,171,1201,1515324.77,12085461.73
2023-01-02,EE3600098448,56,239,591295.0,2346699.73
2023-01-02,EE3600098455,88,259,976193.3,1645001.85
2023-01-02,EE3600098612,37,89,198515.62,479411.24
2023-01-02,EE3600103248,1566,3172,10529285.33,14352495.27
2023-01-02,EE3600103297,410,890,2045412.7,3991470.88
2023-01-02,EE3600103503,1116,1283,6937599.44,6989472.18
2023-01-02,EE3600109393,4844,835,16671452.13,1900612.77
2023-01-02,EE3600109401,881,832,2815518.73,1442746.29
2023-01-02,EE3600109427,1196,863,6350863.78,1192705.87
2023-01-02,EE3600109435,1291,518,8756306.09,2277668.06
2023-01-02,EE3600109443,49,118,449271.07,521763.09
2023-05-02,EE3600001699,351,128,1582198.17,730090.49
2023-05-02,EE3600001723,415,1024,1207935.31,3435527.75
2023-05-02,EE3600001806,32,56,148539.29,208558.01
2023-05-02,EE3600001814,363,367,2833688.02,596830.42
2023-05-02,EE3600001848,364,1,274274.51,93.17
2023-05-02,EE3600019717,45,187,295236.29,734397.68
2023-05-02,EE3600019725,143,1304,441863.4,11352366.24
2023-05-02,EE3600019733,72,194,744842.41,1077035.86
2023-05-02,EE3600019741,795,414,7634567.77,3835539.2
2023-05-02,EE3600019758,872,2199,7103226.3,21915880.9
2023-05-02,EE3600019766,2185,1362,12463978.08,6887203.41
2023-05-02,EE3600019774,336,232,2879015.19,1965458.27
2023-05-02,EE3600019782,15,121,63067.29,701914.43
2023-05-02,EE3600019824,22,233,248423.5,1438974.03
